country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",09-07-2026 20:00,25.599486,85.113666,CO,39,40,40
India,Bihar,Patna,"Muradpur, Patna - BSPCB",09-07-2026 20:00,25.619651,85.147382,OZONE,40,95,77
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",09-07-2026 20:00,25.586562,85.043586,NO2,27,34,31
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",09-07-2026 20:00,24.792403,84.992416,CO,29,36,32
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",09-07-2026 20:00,24.762518,84.982348,PM10,27,44,37
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",09-07-2026 20:00,25.697189,85.2459,PM2.5,27,82,59
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",09-07-2026 20:00,25.697189,85.2459,PM10,42,69,55
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",09-07-2026 20:00,25.560083,87.553265,NO2,2,2,2
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",09-07-2026 20:00,25.560083,87.553265,CO,80,99,88
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",09-07-2026 20:00,26.0881305,87.93840336,NO2,7,8,7
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",09-07-2026 20:00,26.0881305,87.93840336,CO,13,14,13
India,Bihar,Munger,"Town Hall, Munger - BSPCB",09-07-2026 20:00,25.376776,86.471523,NH3,3,3,3
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",09-07-2026 20:00,26.1403345,85.3650192,PM2.5,27,47,34
India,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",09-07-2026 20:00,17.72,83.3,CO,1,37,19
India,Arunachal Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",09-07-2026 20:00,27.103358,93.679645,PM2.5,2,40,13
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",09-07-2026 20:00,26.071318,91.87488,CO,36,57,48
India,Assam,Guwahati,"IITG, Guwahati - PCBA",09-07-2026 20:00,26.2028636,91.70046436,NO2,1,3,2
India,Assam,Guwahati,"IITG, Guwahati - PCBA",09-07-2026 20:00,26.2028636,91.70046436,CO,5,8,6
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",09-07-2026 20:00,26.1875,91.744194,PM10,2,500,258
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",09-07-2026 20:00,26.1875,91.744194,NO2,0,0,0
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",09-07-2026 20:00,26.349082,92.68449,OZONE,6,12,10
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",09-07-2026 20:00,26.446912,91.439057,PM2.5,21,129,66
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",09-07-2026 20:00,26.446912,91.439057,CO,21,22,21
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",09-07-2026 20:00,26.987634,94.636574,NH3,3,11,7
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",09-07-2026 20:00,26.146529,87.454184,SO2,0,14,7
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",09-07-2026 20:00,24.75746,84.366208,CO,100,103,102
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",09-07-2026 20:00,25.42742023,86.13886079,NO2,5,13,9
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",09-07-2026 20:00,25.42742023,86.13886079,NH3,15,17,16
India,Andhra Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",09-07-2026 20:00,13.20488,79.097889,PM10,57,77,64
India,Andhra Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",09-07-2026 20:00,13.20488,79.097889,SO2,16,28,19
India,Andhra Pradesh,Eluru,"District Court, Eluru - APPCB",09-07-2026 20:00,16.711754,81.092095,PM2.5,53,73,64
India,Andhra Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",09-07-2026 20:00,16.316553,80.413302,PM10,42,69,50
India,Andhra Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",09-07-2026 20:00,16.316553,80.413302,NO2,17,54,31
India,Andhra Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",09-07-2026 20:00,16.316553,80.413302,CO,30,51,35
India,Andhra Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",09-07-2026 20:00,16.316553,80.413302,OZONE,23,49,37
India,Andhra Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",09-07-2026 20:00,14.465052,78.824187,PM10,65,82,70
India,Andhra Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",09-07-2026 20:00,14.465052,78.824187,NH3,7,22,17
India,Andhra Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",09-07-2026 20:00,13.615387,79.40923,PM2.5,57,73,63
India,Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",09-07-2026 20:00,16.536107,80.594233,PM10,55,74,64
India,Andhra Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",09-07-2026 20:00,16.554731,80.64911,PM10,57,74,65
India,Andhra Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",09-07-2026 20:00,16.554731,80.64911,OZONE,18,31,24
India,Andhra Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",09-07-2026 20:00,16.509717,80.612222,NO2,16,25,21
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",09-07-2026 20:00,26.80365,84.51954,SO2,10,13,11
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",09-07-2026 20:00,25.204762,85.51496,PM2.5,17,323,62
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",09-07-2026 20:00,25.56752,83.966379,PM2.5,23,107,46
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",09-07-2026 20:00,25.7808257,84.7446768,NO2,1,3,2
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",09-07-2026 20:00,25.7808257,84.7446768,NH3,2,4,3
India,Andhra Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",09-07-2026 20:00,14.438164,79.966814,SO2,9,19,16
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",09-07-2026 20:00,16.9872867,81.7363176,PM10,28,66,44
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",09-07-2026 20:00,16.9872867,81.7363176,SO2,4,6,5
India,Andhra Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",09-07-2026 20:00,13.67,79.35,PM2.5,10,33,22
India,Andhra Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",09-07-2026 20:00,14.675886,77.593027,PM2.5,68,401,111
India,Andhra Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",09-07-2026 20:00,14.675886,77.593027,CO,24,33,28
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",09-07-2026 20:00,28.6514781,77.1473105,PM2.5,17,55,31
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",09-07-2026 20:00,28.493624,77.201159,SO2,3,4,4
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IITM",09-07-2026 20:00,28.5627763,77.1180053,PM10,5,73,25
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IITM",09-07-2026 20:00,28.5627763,77.1180053,OZONE,51,69,61
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",09-07-2026 20:00,28.5504249,77.2159377,SO2,19,21,20
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",09-07-2026 20:00,28.636429,77.201067,CO,88,91,89
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",09-07-2026 20:00,28.636429,77.201067,OZONE,11,17,13
India,Delhi,Delhi,"Pusa, Delhi - DPCC",09-07-2026 20:00,28.639652,77.146275,NO2,10,51,27
India,Delhi,Delhi,"Pusa, Delhi - DPCC",09-07-2026 20:00,28.639652,77.146275,OZONE,1,14,7
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",09-07-2026 20:00,23.023389,72.515201,PM2.5,48,102,63
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",09-07-2026 20:00,23.002657,72.591912,PM10,70,104,84
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",09-07-2026 20:00,23.107969,72.574648,PM10,66,116,88
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",09-07-2026 20:00,23.107969,72.574648,NO2,6,30,12
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",09-07-2026 20:00,28.695381,77.181665,OZONE,5,7,6
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",09-07-2026 20:00,28.5710274,77.0719006,SO2,9,21,16
India,Delhi,Delhi,"DTU, Delhi - CPCB",09-07-2026 20:00,28.7500499,77.1112615,NO2,12,25,20
India,Delhi,Delhi,"DTU, Delhi - CPCB",09-07-2026 20:00,28.7500499,77.1112615,NH3,3,8,5
India,Delhi,Delhi,"North Campus, DU, Delhi - IITM",09-07-2026 20:00,28.6573814,77.1585447,OZONE,36,50,44
India,Delhi,Delhi,"Alipur, Delhi - DPCC",09-07-2026 20:00,28.815329,77.15301,NO2,11,24,16
India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM",09-07-2026 20:00,28.5918245,77.2273074,NO2,4,103,13
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM",09-07-2026 20:00,28.7256504,77.2011573,NO2,11,40,18
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM",09-07-2026 20:00,28.7256504,77.2011573,CO,45,91,55
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM",09-07-2026 20:00,28.7256504,77.2011573,OZONE,7,36,22
India,Delhi,Delhi,"JNU, Delhi - DPCC",09-07-2026 20:00,28.540721,77.168544,PM2.5,2,50,23
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM",09-07-2026 20:00,28.4706914,77.1099364,PM2.5,1,60,21
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM",09-07-2026 20:00,28.4706914,77.1099364,NO2,18,30,25
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",09-07-2026 20:00,28.60909,77.0325413,NH3,6,13,7
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",09-07-2026 20:00,28.62181,77.1944633,NO2,7,43,16
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",09-07-2026 20:00,28.62181,77.1944633,NH3,1,4,2
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",09-07-2026 20:00,28.62181,77.1944633,SO2,0,1,0
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",09-07-2026 20:00,28.62181,77.1944633,CO,35,42,39
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC",09-07-2026 20:00,28.615828,77.271992,OZONE,7,13,10
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",09-07-2026 20:00,28.674045,77.131023,NO2,12,37,20
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",09-07-2026 20:00,28.674045,77.131023,SO2,30,49,38
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",09-07-2026 20:00,23.59315,72.372792,SO2,13,14,13
